category_id,category_name
359,Swimwear
360,Leather Goods
361,Amusement Parks
362,Mortgage Brokers
363,Urgent Care
364,Irish
365,Lakes
366,Gay Bars
367,Lawyers
368,Personal Injury Law
369,General Litigation
370,Food Delivery Services
371,Halal
372,Driving Schools
373,Peruvian
374,Garage Door Services
375,Diving
376,Cooking Schools
377,Do-It-Yourself Food
378,Home Window Tinting
379,RV Dealers
380,Bed & Breakfast
381,Skate Parks
382,Gastropubs
383,Hot Air Balloons
384,Colleges & Universities
385,Endodontists
386,Painters
387,Dog Parks
388,Elementary Schools
389,Graphic Design
390,Advertising
391,Real Estate Agents
392,Soup
393,Taiwanese
394,Breweries
395,Ophthalmologists
396,Laser Eye Surgery/Lasik
397,Cuban
398,Gift Shops
399,Polish
400,African
401,Carpeting
402,Cajun/Creole
403,Hot Tub & Pool
404,Internal Medicine
405,Roofing
406,Handyman
407,Windshield Installation & Repair
408,Children's Clothing
409,Maternity Wear
410,Special Education
411,Private Tutors
412,Dance Studios
413,Bike Repair/Maintenance
414,Windows Installation
415,Dog Walkers
416,Gymnastics
417,Traditional Chinese Medicine
418,Tea Rooms
419,Southern
420,Bail Bondsmen
421,Adult
422,Office Cleaning
423,Barre Classes
424,Pilates
425,Computers
426,Formal Wear
427,Session Photography
428,Party Equipment Rentals
429,Event Photography
430,Boating
431,Public Relations
432,Cosmetology Schools
433,Smog Check Stations
434,Employment Agencies
435,Career Counseling
436,Parking
437,Recreation Centers
438,Television Stations
439,Hospice
440,Boxing
441,Paintball
442,Pharmacy
443,Shared Office Spaces
444,Tutoring Centers
445,Preschools
446,Educational Services
447,Meat Shops
448,DJs
449,Resorts
450,Dance Schools
451,Guns & Ammo
452,Midwives
453,Pawn Shops
454,Accountants
455,Child Care & Day Care
456,Blow Dry/Out Services
457,Jazz & Blues
458,Utilities
459,Recording & Rehearsal Studios
460,Campgrounds
461,Furniture Reupholstery
462,Leisure Centers
463,Photography Stores & Services
464,Comedy Clubs
465,Medical Supplies
466,Cocktail Bars
467,Masonry/Concrete
468,Screen Printing/T-Shirt Printing
469,Door Sales/Installation
470,Tax Services
471,Departments of Motor Vehicles
472,Counseling & Mental Health
473,Landmarks & Historical Buildings
474,Officiants
475,Eyelash Service
476,Courthouses
477,Vacation Rentals
478,Business Law
479,Summer Camps
480,Landscape Architects
481,Social Clubs
482,Knitting Supplies
483,Shades & Blinds
484,Pool Halls
485,Airports
486,Psychics & Astrologers
487,Skydiving
488,Boat Repair
489,Recycling Center
490,Home Theatre Installation
491,Hypnosis/Hypnotherapy
492,Rafting/Kayaking
493,Modern European
494,Psychiatrists
495,Check Cashing/Pay-day Loans
496,Herbs & Spices
497,Truck Rental
498,Uniforms
499,Adult Entertainment
500,Solar Installation
501,Rehabilitation Center
502,Ethiopian
503,Boat Charters
504,Swimming Lessons/Schools
505,Soccer
506,CSA
507,Fences & Gates
508,Notaries
509,Piano Bars
510,Funeral Services & Cemeteries
511,Estate Planning Law
512,Horseback Riding
513,Divorce & Family Law
514,Bankruptcy Law
515,Carpet Installation
516,Mongolian
517,Fondue
518,Real Estate Law
519,Gun/Rifle Ranges
520,Vocational & Technical School
521,Gold Buyers
522,Scuba Diving
523,Burmese
524,Skating Rinks
525,Wigs
526,Cambodian
527,RV Rental
528,Tapas/Small Plates
529,Flight Instruction
530,Disc Golf
531,Pita
532,Junk Removal & Hauling
533,Life Coach
534,Turkish
535,Tattoo Removal
536,Scandinavian
537,Beer Hall
538,Animal Shelters
539,Cardiologists
540,Magicians
541,Payroll Services
542,Home Health Care
543,Colombian
544,Immigration Law
545,Massage Schools
546,RV Parks
547,Home Staging
548,Aquariums
549,Boat Dealers
550,Home Organization
551,Architects
552,Urologists
553,Hats
554,Private Investigation
555,Cantonese
556,Personal Chefs
557,Video/Film Production
558,Talent Agencies
559,Rolfing
560,Opera & Ballet
561,Rugs
562,Retirement Homes
563,Wheel & Rim Repair
564,Party Bus Rentals
565,Clowns
566,Newspapers & Magazines
567,Butcher
568,Moroccan
569,Race Tracks
570,Commercial Real Estate
571,Personal Assistants
572,Food Court
573,Cafeteria
574,Hindu Temples
575,Plus Size Fashion
576,Screen Printing
577,Bubble Tea
578,Archery
579,Anesthesiologists
580,Argentine
581,Hearing Aid Providers
582,Cupcakes
583,Indonesian
584,Brasseries
585,Matchmakers
586,Flowers
587,Ticket Sales
588,Auction Houses
589,Laser Tag
590,Permanent Makeup
591,Bartenders
