"business_id","day_id","opening_time","closing_time"
"41","5","7AM","4PM"
"41","6","7AM","4PM"
"48","1","11AM","6PM"
"48","2","10AM","9PM"
"48","3","10AM","9PM"
"48","4","10AM","9PM"
"48","5","10AM","9PM"
"48","6","10AM","9PM"
"48","7","10AM","9PM"
"51","1","12PM","8PM"
"51","2","12PM","8PM"
"51","3","12PM","8PM"
"51","4","12PM","8PM"
"51","5","12PM","11PM"
"51","6","12PM","11PM"
"51","7","10AM","11PM"
"53","1","12PM","2AM"
"53","2","4PM","12AM"
"53","3","4PM","12AM"
"53","4","4PM","2AM"
"53","5","4PM","10PM"
"53","6","4PM","2AM"
"53","7","12PM","2AM"
"55","1","10PM","5PM"
"55","2","9AM","7PM"
"55","3","9AM","7PM"
"55","4","9AM","7PM"
"55","5","9AM","7PM"
"55","6","9AM","6PM"
"55","7","9AM","6PM"
"56","1","11AM","3PM"
"56","2","4PM","8PM"
"56","3","11AM","4PM"
"56","4","4PM","8PM"
"56","5","4PM","8PM"
"56","6","11AM","4PM"
"56","7","11AM","4PM"
"57","1","6AM","7PM"
"57","2","6AM","7PM"
"57","3","6AM","7PM"
"57","4","6AM","7PM"
"57","5","6AM","7PM"
"57","6","6AM","7PM"
"57","7","6AM","7PM"
"58","2","9AM","4PM"
"58","3","9AM","4PM"
"58","4","9AM","4PM"
"58","5","9AM","4PM"
"58","6","9AM","4PM"
"58","7","9AM","12PM"
"59","1","9AM","8PM"
"59","2","9AM","9PM"
"59","3","9AM","9PM"
"59","4","9AM","9PM"
"59","5","9AM","9PM"
"59","6","9AM","9PM"
"59","7","9AM","8PM"
"62","1","11AM","6PM"
"62","2","10AM","9PM"
"62","3","10AM","9PM"
"62","4","10AM","9PM"
"62","5","10AM","9PM"
"62","6","10AM","9PM"
"62","7","10AM","9PM"
"64","1","12PM","9PM"
"64","2","11AM","9PM"
"64","3","11AM","9PM"
"64","4","11AM","9PM"
"64","5","11AM","9PM"
"64","6","11AM","10PM"
"64","7","12PM","10PM"
"65","1","7AM","5PM"
"65","2","7AM","5PM"
"65","3","7AM","5PM"
"65","4","7AM","5PM"
"65","5","7AM","5PM"
"65","6","7AM","5PM"
"65","7","7AM","5PM"
"66","2","8AM","5PM"
"66","3","8AM","5PM"
"66","4","8AM","5PM"
"66","5","8AM","5PM"
"66","6","8AM","5PM"
"66","7","8AM","5PM"
"67","2","8AM","5PM"
"67","3","8AM","5PM"
"67","4","8AM","5PM"
"67","5","8AM","5PM"
"67","6","8AM","5PM"
"67","7","7AM","4PM"
"70","2","8AM","7PM"
"70","3","8AM","7PM"
"70","4","8AM","7PM"
"70","5","8AM","7PM"
"70","6","8AM","7PM"
"70","7","8AM","6PM"
"71","1","10AM","5PM"
"71","2","9AM","8PM"
"71","3","9AM","8PM"
"71","4","9AM","8PM"
"71","5","9AM","8PM"
"71","6","9AM","8PM"
"71","7","9AM","6PM"
"74","1","10AM","9PM"
"74","2","10AM","9PM"
"74","3","10AM","9PM"
"74","4","10AM","9PM"
"74","5","10AM","9PM"
"74","6","10AM","9PM"
"74","7","10AM","9PM"
"76","1","7AM","10PM"
"76","2","6AM","10PM"
"76","3","6AM","10PM"
"76","4","6AM","10PM"
"76","5","6AM","10PM"
"76","6","6AM","10PM"
"76","7","7AM","10PM"
"77","1","9AM","10PM"
"77","2","9AM","10PM"
"77","3","9AM","10PM"
"77","4","9AM","10PM"
"77","5","9AM","10PM"
"77","6","9AM","10PM"
"77","7","9AM","10PM"
"83","1","11AM","10PM"
"83","2","11AM","10PM"
"83","3","11AM","10PM"
"83","4","11AM","10PM"
"83","5","11AM","10PM"
"83","6","11AM","11PM"
"83","7","11AM","11PM"
"84","1","10AM","2AM"
"84","2","11AM","2AM"
"84","3","11AM","2AM"
"84","4","11AM","2AM"
"84","5","11AM","2AM"
"84","6","11AM","2AM"
"84","7","10AM","2AM"
"86","1","10AM","4PM"
"86","6","8AM","5PM"
"86","7","8AM","4PM"
"89","1","10AM","12AM"
"89","2","10AM","12AM"
"89","3","10AM","12AM"
"89","4","10AM","12AM"
"89","5","10AM","12AM"
"89","6","10AM","2AM"
"89","7","10AM","2AM"
"92","1","11AM","6PM"
"92","2","10AM","9PM"
"92","3","10AM","9PM"
"92","4","10AM","9PM"
"92","5","10AM","9PM"
"92","6","10AM","9PM"
"92","7","10AM","9PM"
"93","1","9AM","12AM"
"93","2","9AM","12AM"
"93","3","9AM","12AM"
"93","4","9AM","12AM"
"93","5","9AM","12AM"
"93","6","9AM","1AM"
"93","7","9AM","1AM"
"95","1","11AM","6PM"
"95","2","11AM","8PM"
"95","3","11AM","8PM"
"95","4","11AM","8PM"
"95","5","11AM","8PM"
"95","6","11AM","8PM"
"95","7","11AM","8PM"
"96","1","9AM","6PM"
"96","2","8AM","10PM"
"96","3","8AM","10PM"
"96","4","8AM","10PM"
"96","5","8AM","10PM"
"96","6","8AM","9PM"
"96","7","9AM","6PM"
"97","1","6AM","1PM"
"97","3","7AM","1PM"
"97","4","7AM","1PM"
"97","5","7AM","1PM"
"97","6","7AM","1PM"
"97","7","6AM","1PM"
"98","1","10AM","2AM"
"98","2","10AM","2AM"
"98","3","10AM","2AM"
"98","4","10AM","2AM"
"98","5","10AM","2AM"
"98","6","10AM","2AM"
"98","7","10AM","2AM"
"99","3","4PM","10PM"
"99","4","4PM","10PM"
"99","5","4PM","10PM"
"99","6","4PM","12AM"
"99","7","11AM","12AM"
"100","1","12PM","9PM"
"100","2","11AM","10PM"
"100","3","11AM","10PM"
"100","4","11AM","10PM"
"100","5","11AM","10PM"
"100","6","11AM","10PM"
"100","7","11AM","10PM"
"101","1","4PM","9PM"
"101","2","11AM","9PM"
"101","3","11AM","9PM"
"101","4","11AM","9PM"
"101","5","11AM","9PM"
"101","6","11AM","9PM"
"101","7","11AM","9PM"
"102","1","11AM","11PM"
"102","2","11AM","11PM"
"102","3","11AM","11PM"
"102","4","11AM","11PM"
"102","5","11AM","11PM"
"102","6","11AM","12AM"
"102","7","11AM","12AM"
"103","1","11AM","10PM"
"103","2","11AM","10PM"
"103","3","11AM","10PM"
"103","4","11AM","10PM"
"103","5","11AM","10PM"
"103","6","11AM","10PM"
"103","7","11AM","10PM"
"104","1","10AM","5PM"
"104","2","9AM","8PM"
"104","3","9AM","8PM"
"104","4","9AM","8PM"
"104","5","9AM","8PM"
"104","6","9AM","8PM"
"104","7","9AM","6PM"
"108","1","7AM","3PM"
"108","2","6AM","3PM"
"108","3","6AM","3PM"
"108","4","6AM","3PM"
"108","5","6AM","3PM"
"108","6","6AM","3PM"
"108","7","7AM","3PM"
"109","1","12AM","12AM"
"109","2","12AM","12AM"
"109","3","12AM","12AM"
"109","4","12AM","12AM"
"109","5","12AM","12AM"
"109","6","12AM","12AM"
"109","7","12AM","12AM"
"110","1","8AM","2PM"
"110","2","6AM","6PM"
"110","3","6AM","6PM"
"110","4","6AM","6PM"
"110","5","6AM","6PM"
"110","6","6AM","6PM"
"110","7","7AM","6PM"
"113","1","10AM","2PM"
"113","3","10AM","8PM"
"113","4","10AM","8PM"
"113","5","10AM","8PM"
"113","6","10AM","8PM"
"113","7","10AM","8PM"
"116","1","7AM","10PM"
"116","2","7AM","10PM"
"116","3","7AM","10PM"
"116","4","7AM","10PM"
"116","5","7AM","10PM"
"116","6","7AM","10PM"
"116","7","7AM","10PM"
"117","1","9AM","8PM"
"117","2","9AM","9PM"
"117","3","9AM","9PM"
"117","4","9AM","9PM"
"117","5","9AM","9PM"
"117","6","9AM","9PM"
"117","7","9AM","9PM"
"118","3","7AM","5PM"
"118","4","7AM","5PM"
"118","5","7AM","5PM"
"118","6","7AM","5PM"
"118","7","7AM","5PM"
"120","1","9AM","5PM"
"120","2","9AM","5PM"
"120","3","9AM","5PM"
"120","4","9AM","5PM"
"120","5","9AM","5PM"
"120","6","9AM","5PM"
"120","7","9AM","5PM"
"122","1","7AM","7PM"
"122","2","5AM","7PM"
"122","3","5AM","7PM"
"122","4","5AM","7PM"
"122","5","5AM","7PM"
"122","6","5AM","7PM"
"122","7","6AM","7PM"
"123","1","2PM","2AM"
"123","5","9PM","4AM"
"123","6","9PM","4AM"
"123","7","9PM","4AM"
"124","1","9AM","7PM"
"124","2","9AM","9PM"
"124","3","9AM","9PM"
"124","4","9AM","9PM"
"124","5","9AM","9PM"
"124","6","9AM","9PM"
"124","7","9AM","9PM"
"125","1","9AM","8PM"
"125","2","6AM","9PM"
"125","3","6AM","9PM"
"125","4","6AM","9PM"
"125","5","6AM","9PM"
"125","6","6AM","9PM"
"125","7","6AM","9PM"
"126","1","12AM","11PM"
"126","2","12AM","11PM"
"126","3","12AM","11PM"
"126","4","12AM","11PM"
"126","5","12AM","11PM"
"126","6","12AM","11PM"
"126","7","12AM","11PM"
"127","1","9AM","9PM"
"127","2","11AM","9PM"
"127","3","11AM","9PM"
"127","4","11AM","9PM"
"127","5","11AM","9PM"
"127","6","11AM","10PM"
"127","7","11AM","10PM"
"129","2","9AM","6PM"
"129","3","9AM","6PM"
"129","4","9AM","6PM"
"129","5","12PM","8PM"
"129","6","9AM","6PM"
"129","7","9AM","3PM"
"131","1","4AM","10PM"
"131","2","4AM","10PM"
"131","3","4AM","10PM"
"131","4","4AM","10PM"
"131","5","4AM","10PM"
"131","6","4AM","10PM"
"131","7","4AM","10PM"
"132","1","12AM","12AM"
"132","2","12AM","12AM"
"132","3","12AM","12AM"
"132","4","12AM","12AM"
"132","5","12AM","12AM"
"132","6","12AM","12AM"
"132","7","12AM","12AM"
"134","2","9AM","8PM"
"134","3","9AM","8PM"
"134","4","9AM","8PM"
"134","5","9AM","8PM"
"134","6","9AM","8PM"
"134","7","10AM","8PM"
"137","1","6AM","12AM"
"137","2","6AM","12AM"
"137","3","6AM","12AM"
"137","4","6AM","12AM"
"137","5","6AM","12AM"
"137","6","6AM","12AM"
"137","7","6AM","12AM"
"139","1","12AM","12AM"
"139","2","12AM","12AM"
"139","3","12AM","12AM"
"139","4","12AM","12AM"
"139","5","12AM","12AM"
"139","6","12AM","12AM"
"139","7","12AM","12AM"
"140","1","11AM","9PM"
"140","2","11AM","10PM"
"140","3","11AM","10PM"
"140","4","11AM","10PM"
"140","5","11AM","10PM"
"140","6","11AM","11PM"
"140","7","11AM","11PM"
"143","1","8AM","7PM"
"143","2","7AM","9PM"
"143","3","7AM","9PM"
"143","4","7AM","9PM"
"143","5","7AM","9PM"
"143","6","7AM","9PM"
"143","7","8AM","7PM"
"146","1","12AM","12AM"
"146","2","12AM","12AM"
"146","3","12AM","12AM"
"146","4","12AM","12AM"
"146","5","12AM","12AM"
"146","6","12AM","12AM"
"146","7","12AM","12AM"
"147","1","11AM","2AM"
"147","2","11AM","2AM"
"147","3","11AM","2AM"
"147","4","11AM","2AM"
"147","5","11AM","2AM"
"147","6","11AM","2AM"
"147","7","11AM","2AM"
"149","2","9AM","5PM"
"149","3","9AM","5PM"
"149","4","9AM","5PM"
"149","5","9AM","5PM"
"149","6","9AM","6PM"
"149","7","9AM","1PM"
"150","2","10AM","8PM"
"150","3","10AM","8PM"
"150","4","10AM","8PM"
"150","5","10AM","8PM"
"150","6","10AM","10PM"
"150","7","10AM","10PM"
"151","1","8AM","12PM"
"151","2","8AM","5PM"
"151","3","8AM","5PM"
"151","4","8AM","5PM"
"151","5","8AM","5PM"
"151","6","8AM","5PM"
"151","7","8AM","5PM"
"152","1","11AM","9PM"
"152","2","11AM","9PM"
"152","3","11AM","9PM"
"152","4","11AM","9PM"
"152","5","11AM","9PM"
"152","6","11AM","10PM"
"152","7","11AM","10PM"
"156","1","11AM","10PM"
"156","2","11AM","9PM"
"156","3","11AM","9PM"
"156","4","11AM","10PM"
"156","5","11AM","10PM"
"156","6","11AM","11PM"
"156","7","11AM","11PM"
"157","1","10AM","5PM"
"157","2","10AM","7PM"
"157","3","10AM","7PM"
"157","4","10AM","7PM"
"157","5","10AM","7PM"
"157","6","10AM","7PM"
"157","7","10AM","5PM"
"158","1","12PM","9PM"
"158","3","11AM","2PM"
"158","4","11AM","2PM"
"158","5","11AM","2PM"
"158","6","5PM","9PM"
"158","7","12PM","9PM"
"159","1","1PM","4PM"
"159","2","5PM","8PM"
"159","4","5PM","9PM"
"159","6","7PM","12AM"
"159","7","7PM","12AM"
"161","1","10AM","9PM"
"161","2","10AM","9PM"
"161","3","10AM","9PM"
"161","4","10AM","9PM"
"161","5","10AM","9PM"
"161","6","10AM","9PM"
"161","7","10AM","9PM"
"162","2","8AM","5PM"
"162","3","8AM","5PM"
"162","4","8AM","5PM"
"162","5","8AM","5PM"
"162","6","8AM","5PM"
"163","1","6AM","5AM"
"163","2","6AM","5AM"
"163","3","6AM","5AM"
"163","4","6AM","5AM"
"163","5","6AM","5AM"
"163","6","6AM","5AM"
"163","7","6AM","5AM"
"164","2","10AM","9PM"
"164","3","10AM","9PM"
"164","4","10AM","9PM"
"164","5","10AM","9PM"
"164","6","10AM","10PM"
"164","7","11AM","10PM"
"165","1","12PM","2AM"
"165","2","11AM","2AM"
"165","3","11AM","2AM"
"165","4","11AM","2AM"
"165","5","11AM","2AM"
"165","6","11AM","2AM"
"165","7","12PM","2AM"
"166","1","11AM","2AM"
"166","2","11AM","2AM"
"166","3","11AM","2AM"
"166","4","11AM","2AM"
"166","5","11AM","2AM"
"166","6","11AM","2AM"
"166","7","11AM","2AM"
"167","1","11AM","9PM"
"167","2","11AM","9PM"
"167","3","11AM","9PM"
"167","4","11AM","9PM"
"167","5","11AM","9PM"
"167","6","11AM","9PM"
"167","7","11AM","9PM"
"168","1","11AM","6PM"
"168","2","10AM","9PM"
"168","3","10AM","9PM"
"168","4","10AM","9PM"
"168","5","10AM","9PM"
"168","6","10AM","9PM"
"168","7","9AM","9PM"
"170","1","9AM","5PM"
"170","2","8AM","7PM"
"170","3","8AM","7PM"
"170","4","8AM","7PM"
"170","5","8AM","7PM"
"170","6","8AM","7PM"
"170","7","8AM","7PM"
"171","1","12PM","8PM"
"171","2","3PM","9PM"
"171","3","3PM","9PM"
"171","4","3PM","9PM"
"171","5","3PM","9PM"
"171","6","11AM","9PM"
"171","7","11AM","4PM"
"174","2","10AM","7PM"
"174","3","10AM","7PM"
"174","4","10AM","7PM"
"174","5","10AM","7PM"
"174","6","10AM","7PM"
"174","7","10AM","6PM"
"176","1","12PM","9PM"
"176","2","11AM","11PM"
"176","3","11AM","11PM"
"176","4","11AM","11PM"
"176","5","11AM","11PM"
"176","6","11AM","11PM"
"176","7","11AM","11PM"
"179","1","9AM","5PM"
"179","2","9AM","5PM"
"179","3","9AM","5PM"
"179","4","9AM","5PM"
"179","5","9AM","5PM"
"179","6","9AM","5PM"
"179","7","9AM","5PM"
"181","1","11AM","10PM"
"181","2","11AM","10PM"
"181","3","11AM","10PM"
"181","4","11AM","10PM"
"181","5","11AM","10PM"
"181","6","11AM","11PM"
"181","7","11AM","11PM"
"182","1","9AM","5PM"
"182","2","8AM","7PM"
"182","3","8AM","7PM"
"182","4","8AM","7PM"
"182","5","8AM","7PM"
"182","6","8AM","7PM"
"182","7","8AM","7PM"
"184","1","7AM","10PM"
"184","2","7AM","10PM"
"184","3","7AM","10PM"
"184","4","7AM","10PM"
"184","5","7AM","10PM"
"184","6","7AM","11PM"
"184","7","7AM","11PM"
"190","1","7AM","7PM"
"190","2","4AM","10PM"
"190","3","4AM","10PM"
"190","4","4AM","10PM"
"190","5","4AM","10PM"
"190","6","4AM","9PM"
"190","7","7AM","7PM"
"196","2","9AM","5PM"
"196","3","9AM","5PM"
"196","4","9AM","5PM"
"196","5","9AM","5PM"
"196","6","9AM","5PM"
"196","7","9AM","5PM"
"197","1","12PM","5PM"
"197","2","10AM","6PM"
"197","3","10AM","6PM"
"197","4","10AM","6PM"
"197","5","10AM","6PM"
"197","6","10AM","6PM"
"197","7","10AM","6PM"
"199","1","5AM","2PM"
"199","2","5AM","4PM"
"199","3","5AM","4PM"
"199","4","5AM","4PM"
"199","5","5AM","4PM"
"199","6","5AM","4PM"
"199","7","5AM","4PM"
"202","1","11AM","11PM"
"202","2","3PM","11PM"
"202","3","3PM","11PM"
"202","4","3PM","2AM"
"202","5","3PM","2AM"
"202","6","3PM","2AM"
"202","7","11AM","2AM"
"203","2","7AM","4PM"
"203","3","7AM","4PM"
"203","4","7AM","4PM"
"203","5","7AM","4PM"
"203","6","7AM","12PM"
"204","1","1PM","5PM"
"204","3","12PM","8PM"
"204","4","12PM","8PM"
"204","5","12PM","10PM"
"204","6","12PM","10PM"
"204","7","12PM","10PM"
"205","1","6AM","1PM"
"205","2","6AM","1PM"
"205","3","6AM","1PM"
"205","4","6AM","1PM"
"205","5","6AM","1PM"
"205","6","6AM","1PM"
"205","7","6AM","1PM"
"208","1","5AM","11PM"
"208","2","5AM","11PM"
"208","3","5AM","11PM"
"208","4","5AM","11PM"
"208","5","5AM","11PM"
"208","6","5AM","11PM"
"208","7","5AM","11PM"
"210","1","8AM","5PM"
"210","2","8AM","5PM"
"210","3","8AM","5PM"
"210","4","8AM","5PM"
"210","5","8AM","5PM"
"210","6","8AM","5PM"
"210","7","8AM","5PM"
"211","1","11AM","9PM"
"211","2","11AM","10PM"
"211","3","11AM","10PM"
"211","4","11AM","10PM"
"211","5","11AM","10PM"
"211","6","11AM","11PM"
"211","7","11AM","11PM"
"214","3","10AM","6PM"
"214","4","10AM","6PM"
"214","5","10AM","6PM"
"214","6","10AM","6PM"
"214","7","9AM","5PM"
"215","2","9AM","5PM"
"215","3","9AM","5PM"
"215","4","9AM","5PM"
"215","5","9AM","5PM"
"215","6","9AM","5PM"
"219","1","7AM","11PM"
"219","2","7AM","11PM"
"219","3","7AM","11PM"
"219","4","7AM","11PM"
"219","5","7AM","11PM"
"219","6","7AM","11PM"
"219","7","7AM","11PM"
"221","2","7AM","6PM"
"221","3","7AM","6PM"
"221","4","7AM","6PM"
"221","5","7AM","6PM"
"221","6","7AM","6PM"
"221","7","8AM","12PM"
"224","1","10AM","2AM"
"224","2","11AM","2AM"
"224","3","11AM","2AM"
"224","4","11AM","2AM"
"224","5","11AM","2AM"
"224","6","11AM","2AM"
"224","7","10AM","2AM"
"226","1","4PM","9PM"
"226","2","4PM","9PM"
"226","3","4PM","9PM"
"226","4","4PM","9PM"
"226","5","11AM","2PM"
"226","6","11AM","2PM"
"226","7","4PM","10PM"
"227","1","12AM","12AM"
"227","2","12AM","12AM"
"227","3","12AM","12AM"
"227","4","12AM","12AM"
"227","5","12AM","12AM"
"227","6","12AM","12AM"
"227","7","12AM","12AM"
"229","1","11AM","9PM"
"229","2","10AM","9PM"
"229","3","10AM","9PM"
"229","4","10AM","9PM"
"229","5","10AM","9PM"
"229","6","10AM","10PM"
"229","7","10AM","10PM"
"231","1","11AM","7PM"
"231","2","11AM","9PM"
"231","3","10AM","9PM"
"231","4","10AM","9PM"
"231","5","10AM","9PM"
"231","6","10AM","9PM"
"231","7","10AM","9PM"
"232","3","5PM","9PM"
"232","4","5PM","9PM"
"232","5","5PM","9PM"
"232","6","5PM","9PM"
"232","7","5PM","9PM"
"233","1","10AM","4PM"
"233","2","10AM","7PM"
"233","3","9AM","7PM"
"233","4","9AM","7PM"
"233","5","9AM","7PM"
"233","6","9AM","7PM"
"233","7","10AM","7PM"
"238","2","7AM","4PM"
"238","3","7AM","4PM"
"238","4","7AM","4PM"
"238","5","7AM","4PM"
"238","6","7AM","4PM"
"238","7","8AM","12PM"
"239","1","12PM","2PM"
"239","2","10AM","6PM"
"239","3","1PM","6PM"
"239","4","1PM","6PM"
"239","5","1PM","6PM"
"239","6","1PM","5PM"
"239","7","10AM","3PM"
"240","2","9AM","7PM"
"240","3","9AM","7PM"
"240","4","9AM","7PM"
"240","5","9AM","7PM"
"240","6","9AM","7PM"
"240","7","10AM","3PM"
"246","1","9AM","10PM"
"246","2","9AM","1AM"
"246","3","9AM","1AM"
"246","4","9AM","1AM"
"246","5","9AM","1AM"
"246","6","9AM","1AM"
"246","7","9AM","1AM"
"247","2","8AM","5PM"
"247","3","8AM","5PM"
"247","4","8AM","5PM"
"247","5","8AM","5PM"
"247","6","8AM","12PM"
"248","2","7AM","6PM"
"248","3","7AM","6PM"
"248","4","7AM","6PM"
"248","5","7AM","6PM"
"248","6","7AM","6PM"
"248","7","7AM","6PM"
"250","1","9AM","5PM"
"250","2","9AM","5PM"
"250","3","9AM","2PM"
"250","4","9AM","2PM"
"250","5","9AM","2PM"
"250","6","9AM","2PM"
"250","7","9AM","3PM"
"252","1","10AM","8PM"
"252","2","10AM","10PM"
"252","3","10AM","10PM"
"252","4","10AM","10PM"
"252","5","10AM","10PM"
"252","6","10AM","10PM"
"252","7","9AM","10PM"
"254","2","9AM","5PM"
"254","3","9AM","5PM"
"254","4","9AM","5PM"
"254","5","9AM","5PM"
"254","6","9AM","5PM"
"256","1","10AM","3PM"
"256","3","10AM","2PM"
"256","4","10AM","2PM"
"256","5","10AM","2PM"
"256","6","10AM","2PM"
"256","7","10AM","3PM"
"259","1","11AM","2AM"
"259","2","11AM","2AM"
"259","3","11AM","2AM"
"259","4","11AM","2AM"
"259","5","11AM","2AM"
"259","6","11AM","2AM"
"259","7","11AM","2AM"
"260","3","8AM","5PM"
"260","4","8AM","5PM"
"260","5","8AM","5PM"
"260","6","8AM","5PM"
"260","7","8AM","5PM"
"261","2","7AM","7PM"
"261","3","7AM","7PM"
"261","4","7AM","7PM"
"261","5","7AM","7PM"
"261","6","7AM","7PM"
"261","7","9AM","6PM"
"262","1","11AM","10PM"
"262","2","11AM","10PM"
"262","3","11AM","10PM"
"262","4","11AM","10PM"
"262","5","11AM","10PM"
"262","6","11AM","11PM"
"262","7","11AM","11PM"
"264","1","8AM","12AM"
"264","2","8AM","12AM"
"264","3","8AM","12AM"
"264","4","8AM","12AM"
"264","5","8AM","12AM"
"264","6","8AM","3AM"
"264","7","8AM","3AM"
"268","1","10AM","6PM"
"268","4","10AM","8PM"
"268","5","10AM","8PM"
"268","6","10AM","9PM"
"268","7","10AM","9PM"
"269","2","7AM","5PM"
"269","3","7AM","5PM"
"269","4","7AM","5PM"
"269","5","7AM","5PM"
"269","6","7AM","5PM"
"270","1","12PM","6PM"
"270","2","10AM","9PM"
"270","3","10AM","9PM"
"270","4","10AM","9PM"
"270","5","10AM","9PM"
"270","6","10AM","9PM"
"270","7","10AM","7PM"
"276","2","9AM","7PM"
"276","3","9AM","7PM"
"276","4","9AM","7PM"
"276","5","9AM","7PM"
"276","6","9AM","7PM"
"276","7","9AM","6PM"
"277","1","4PM","2AM"
"277","2","4PM","2AM"
"277","3","4PM","2AM"
"277","4","4PM","2AM"
"277","5","4PM","2AM"
"277","6","4PM","2AM"
"277","7","4PM","2AM"
"278","1","7AM","8PM"
"278","2","6AM","8PM"
"278","3","6AM","8PM"
"278","4","6AM","8PM"
"278","5","6AM","8PM"
"278","6","6AM","8PM"
"278","7","7AM","8PM"
"279","2","8AM","5PM"
"279","3","8AM","5PM"
"279","4","8AM","5PM"
"279","5","8AM","5PM"
"279","6","8AM","5PM"
"283","1","11AM","9PM"
"283","3","5PM","9PM"
"283","4","5PM","9PM"
"283","5","11AM","3PM"
"283","6","5PM","9PM"
"283","7","11AM","9PM"
"284","1","6AM","5PM"
"284","2","7AM","5PM"
"284","3","7AM","5PM"
"284","4","7AM","5PM"
"284","5","7AM","5PM"
"284","6","7AM","4PM"
"284","7","6AM","5PM"
"290","2","9AM","5PM"
"290","3","9AM","5PM"
"290","4","9AM","5PM"
"290","5","9AM","5PM"
"290","6","9AM","5PM"
"290","7","9AM","3PM"
"296","2","8AM","6PM"
"296","3","8AM","6PM"
"296","4","8AM","6PM"
"296","5","8AM","6PM"
"296","6","8AM","6PM"
"296","7","9AM","2PM"
"297","1","11AM","6PM"
"297","2","10AM","8PM"
"297","3","10AM","8PM"
"297","4","10AM","8PM"
"297","5","10AM","8PM"
"297","6","10AM","8PM"
"297","7","10AM","8PM"
"298","1","10AM","4PM"
"298","2","7AM","9PM"
"298","3","7AM","9PM"
"298","4","7AM","9PM"
"298","5","7AM","9PM"
"298","6","7AM","9PM"
"298","7","9AM","6PM"
"299","1","11AM","9PM"
"299","2","11AM","10PM"
"299","3","11AM","10PM"
